TYP; REGELSET; DATEI; PFAD; INFO
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ShipHulls_Pirates1.xml; /*/*/Name (31); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ShipHulls_Pirates2.xml; /*/*/Name (31); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ShipHulls_Pirates3.xml; /*/*/Name (31); Kein Element gefunden in 'Englisch Alt'.
NOCH_NICHT_ÜBERSETZT; Basic-Versionen #1 Nur Name; ShipHulls_Pirates4.xml; /*/*/Name (31); Kein Element gefunden in 'Englisch Alt'.
UNGÜLTIG; Basic-Versionen #2 Name + Description; ; ; Keine Datei für 'Englisch Neu' gefunden.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/MessageTitle (240); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/MessageTitle (243); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/MessageTitle (272); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/MessageTitle (274); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/MessageTitle (275); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/MessageTitle (277); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/MessageTitle (281); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/MessageTitle (284); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (60); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (65); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (70); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (75); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (80); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (85); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (90); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (95); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
